สำนักงานเศรษฐกิจการเกษตร | สินค้าเกษตรทุเรียน,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
ผลผลิตทุเรียนแยกตามจังหวัด ปี 2562,,,,
จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
จันทบุรี,339292,0.3547,190728,1778.93
ชุมพร,212764,0.2224,157837,1348
ระยอง,108093,0.113,64469,1676.67
ตราด,48158,0.0503,26133,1842.8
สุราษฎร์ธานี,47550,0.0497,39039,1218.01
นครศรีธรรมราช,45632,0.0477,44958,1014.99
ยะลา,39615,0.0414,48018,825
อุตรดิตถ์,31086,0.0325,35405,878.01
ระนอง,26522,0.0277,30948,856.99
นราธิวาส,16968,0.0177,25709,660
สงขลา,11462,0.012,14382,796.97
สุโขทัย,4766,0.005,6142,775.97
ศรีสะเกษ,4108,0.0043,2953,1391.13
ปัตตานี,4031,0.0042,7059,571.04
พังงา,3986,0.0042,6161,646.97
ประจวบคีรีขันธ์,2862,0.003,4383,652.98
พัทลุง,2018,0.0021,3346,603.11
ปราจีนบุรี,1274,0.0013,1577,807.86
ตรัง,1198,0.0013,2080,575.96
ภูเก็ต,912,0.001,2258,403.9
กระบี่,904,0.0009,2194,412.03
สตูล,773,0.0008,1249,618.9
กาญจนบุรี,522,0.0005,1095,476.71
พิษณุโลก,452,0.0005,864,523.15
นครนายก,424,0.0004,454,933.92
เพชรบุรี,396,0.0004,656,603.66
แพร่,297,0.0003,673,441.31
นครราชสีมา,188,0.0002,499,376.75
อุบลราชธานี,185,0.0002,270,685.19
ชลบุรี,156,0.0002,216,722.22
นนทบุรี,8,0,114,70.18
กาฬสินธุ์,3,0,3,1000
